age_range,gender,income_range,location,ad_type,ad_topic,ctr,conversion_rate,conv_per_impr,ub
15-25,Female,0-25k,Urban,Video,Fashion,0.0445,0.0519,0.00230955,5000
15-25,Female,0-25k,Urban,Video,Food,0.043366666666666664,0.12223333333333335,0.005300852222222222,5000
15-25,Female,0-25k,Urban,Video,Health,0.04925,0.2286,0.01125855,5000
15-25,Female,0-25k,Urban,Video,Technology,0.07425000000000001,0.11335,0.008416237500000001,5000
15-25,Female,0-25k,Urban,Video,Travel,0.046,0.16665,0.0076659,5000
15-25,Female,25k-50k,Rural,Banner,Fashion,0.07794999999999999,0.1459,0.011372904999999999,5000
15-25,Female,25k-50k,Rural,Banner,Finance,0.041275,0.29605,0.01221946375,5000
15-25,Female,25k-50k,Rural,Banner,Food,0.040080000000000005,0.12364000000000001,0.004955491200000001,5000
15-25,Female,25k-50k,Rural,Banner,Health,0.04616666666666667,0.23168333333333332,0.010696047222222222,5000
15-25,Female,25k-50k,Rural,Banner,Technology,0.06463333333333333,0.2558666666666667,0.016537515555555556,5000
15-25,Female,25k-50k,Rural,Banner,Travel,0.06044000000000001,0.14554,0.008796437600000002,5000
15-25,Female,25k-50k,Rural,Native,Fashion,0.02875,0.27985,0.0080456875,5000
15-25,Female,25k-50k,Rural,Native,Food,0.057,0.168325,0.009594525000000001,5000
15-25,Female,25k-50k,Rural,Native,Health,0.045275,0.1459,0.006605622500000001,5000
15-25,Female,25k-50k,Rural,Native,Technology,0.05536,0.20246,0.0112081856,5000
15-25,Female,25k-50k,Rural,Native,Travel,0.05186666666666667,0.20528333333333335,0.010647362222222224,5000
15-25,Female,25k-50k,Rural,Text,Fashion,0.035324999999999995,0.178,0.0062878499999999985,5000
15-25,Female,25k-50k,Rural,Text,Finance,0.03046666666666667,0.1416666666666667,0.004316111111111113,5000
15-25,Female,25k-50k,Rural,Text,Food,0.0557,0.27753333333333335,0.015458606666666668,5000
15-25,Female,25k-50k,Rural,Text,Health,0.05956,0.17386,0.0103551016,5000
15-25,Female,25k-50k,Rural,Text,Technology,0.04608333333333333,0.1221,0.005626775,5000
15-25,Female,25k-50k,Rural,Text,Travel,0.04856666666666667,0.2516333333333333,0.012220992222222221,5000
15-25,Female,25k-50k,Rural,Video,Fashion,0.06076666666666666,0.1505,0.009145383333333333,5000
15-25,Female,25k-50k,Rural,Video,Finance,0.037899999999999996,0.20803333333333332,0.007884463333333333,5000
15-25,Female,25k-50k,Rural,Video,Food,0.05946666666666667,0.2471,0.014694213333333333,5000
15-25,Female,25k-50k,Rural,Video,Health,0.060599999999999994,0.2386,0.014459159999999999,5000
15-25,Female,25k-50k,Rural,Video,Technology,0.053766666666666664,0.1265,0.006801483333333333,5000
15-25,Female,25k-50k,Rural,Video,Travel,0.04485,0.24998333333333334,0.0112117525,5000
15-25,Female,25k-50k,Suburban,Banner,Fashion,0.030466666666666666,0.20909999999999998,0.006370579999999999,5000
15-25,Female,25k-50k,Suburban,Banner,Finance,0.05536666666666667,0.15676666666666667,0.008679647777777778,5000
15-25,Female,25k-50k,Suburban,Banner,Food,0.0401,0.27065,0.010853064999999999,5000
15-25,Female,25k-50k,Suburban,Banner,Health,0.04865,0.096,0.0046704,5000
15-25,Female,25k-50k,Suburban,Banner,Travel,0.049350000000000005,0.0924,0.00455994,5000
15-25,Female,25k-50k,Suburban,Native,Food,0.0381,0.2544,0.00969264,5000
15-25,Female,25k-50k,Suburban,Native,Health,0.0416,0.14183333333333334,0.005900266666666667,5000
15-25,Female,25k-50k,Suburban,Native,Technology,0.0523,0.1256,0.006568879999999999,5000
15-25,Female,25k-50k,Suburban,Text,Fashion,0.057057142857142855,0.1810142857142857,0.010328157959183673,5000
15-25,Female,25k-50k,Suburban,Text,Finance,0.03425,0.386225,0.013228206250000001,5000
15-25,Female,25k-50k,Suburban,Text,Food,0.05665,0.20915,0.0118483475,5000
15-25,Female,25k-50k,Suburban,Text,Health,0.05554285714285714,0.17537142857142857,0.009740630204081632,5000
15-25,Female,25k-50k,Suburban,Text,Technology,0.036000000000000004,0.2673,0.0096228,5000
15-25,Female,25k-50k,Suburban,Text,Travel,0.04805,0.267775,0.01286658875,5000
15-25,Female,25k-50k,Suburban,Video,Fashion,0.055779999999999996,0.27326,0.015242442799999999,5000
15-25,Female,25k-50k,Suburban,Video,Finance,0.03336666666666666,0.19126666666666667,0.00638193111111111,5000
15-25,Female,25k-50k,Suburban,Video,Food,0.0448,0.2176857142857143,0.00975232,5000
15-25,Female,25k-50k,Suburban,Video,Health,0.0410125,0.2624,0.010761680000000001,5000
15-25,Female,25k-50k,Suburban,Video,Technology,0.0509,0.11555,0.0058814950000000005,5000
15-25,Female,25k-50k,Suburban,Video,Travel,0.05366,0.14308,0.0076776728,5000
15-25,Female,25k-50k,Urban,Banner,Fashion,0.04547142857142857,0.21931428571428574,0.009972533877551022,5000
15-25,Female,25k-50k,Urban,Banner,Finance,0.05793333333333334,0.2518,0.014587613333333336,5000
15-25,Female,25k-50k,Urban,Banner,Food,0.04178,0.19938,0.008330096399999999,5000
15-25,Female,25k-50k,Urban,Banner,Health,0.0395,0.2042,0.008065899999999999,5000
15-25,Female,25k-50k,Urban,Banner,Technology,0.06927777777777777,0.13857777777777777,0.009600360493827158,5000
15-25,Female,25k-50k,Urban,Banner,Travel,0.0612,0.0593,0.0036291599999999998,5000
15-25,Female,25k-50k,Urban,Native,Fashion,0.06885,0.16935,0.0116597475,5000
15-25,Female,25k-50k,Urban,Native,Finance,0.05356666666666667,0.16748333333333335,0.00897152388888889,5000
15-25,Female,25k-50k,Urban,Native,Food,0.043366666666666664,0.10593333333333332,0.004593975555555555,5000
15-25,Female,25k-50k,Urban,Native,Health,0.03966,0.20183999999999996,0.008004974399999998,5000
15-25,Female,25k-50k,Urban,Native,Technology,0.056133333333333334,0.10410000000000001,0.005843480000000001,5000
15-25,Female,25k-50k,Urban,Native,Travel,0.0703,0.0884,0.00621452,5000
15-25,Female,25k-50k,Urban,Text,Fashion,0.047375,0.172575,0.008175740625,5000
15-25,Female,25k-50k,Urban,Text,Finance,0.0371,0.15395,0.005711545,5000
15-25,Female,25k-50k,Urban,Text,Food,0.057633333333333335,0.26753333333333335,0.01541883777777778,5000
15-25,Female,25k-50k,Urban,Text,Health,0.05564,0.26592000000000005,0.014795788800000003,5000
15-25,Female,25k-50k,Urban,Text,Technology,0.0525125,0.19195,0.010079774375,5000
15-25,Female,25k-50k,Urban,Text,Travel,0.0627,0.36695,0.023007765000000003,5000
15-25,Female,25k-50k,Urban,Video,Fashion,0.0666,0.16586666666666666,0.011046720000000001,5000
15-25,Female,25k-50k,Urban,Video,Finance,0.0571,0.15407500000000002,0.0087976825,5000
15-25,Female,25k-50k,Urban,Video,Food,0.061860000000000005,0.21000000000000002,0.012990600000000003,5000
15-25,Female,25k-50k,Urban,Video,Health,0.05015,0.244,0.0122366,5000
15-25,Female,25k-50k,Urban,Video,Technology,0.05772000000000001,0.24196,0.013965931200000002,5000
15-25,Female,25k-50k,Urban,Video,Travel,0.0618,0.15356666666666666,0.00949042,5000
15-25,Female,50k-75k,Rural,Banner,Fashion,0.062,0.3041,0.018854199999999998,5000
15-25,Female,50k-75k,Rural,Banner,Finance,0.05955,0.233625,0.01391236875,5000
15-25,Female,50k-75k,Rural,Banner,Food,0.06663333333333334,0.13623333333333335,0.009077681111111112,5000
15-25,Female,50k-75k,Rural,Banner,Health,0.0664,0.0596,0.0039574400000000004,5000
15-25,Female,50k-75k,Rural,Banner,Technology,0.0261,0.1658,0.0043273800000000005,5000
15-25,Female,50k-75k,Rural,Banner,Travel,0.04294,0.2178,0.009352332,5000
15-25,Female,50k-75k,Rural,Native,Fashion,0.03306666666666667,0.25976666666666665,0.008589617777777777,5000
15-25,Female,50k-75k,Rural,Native,Finance,0.053575,0.27415,0.014687586249999999,5000
15-25,Female,50k-75k,Rural,Native,Food,0.05933999999999999,0.27648,0.016406323199999996,5000
15-25,Female,50k-75k,Rural,Native,Health,0.0444,0.1701,0.0075524400000000005,5000
15-25,Female,50k-75k,Rural,Native,Technology,0.05154285714285715,0.15328571428571428,0.007900783673469388,5000
15-25,Female,50k-75k,Rural,Native,Travel,0.044475,0.127,0.005648325,5000
15-25,Female,50k-75k,Rural,Text,Fashion,0.049319999999999996,0.28148,0.0138825936,5000
15-25,Female,50k-75k,Rural,Text,Finance,0.05105,0.1696,0.00865808,5000
15-25,Female,50k-75k,Rural,Text,Food,0.0678,0.20983999999999997,0.014227151999999998,5000
15-25,Female,50k-75k,Rural,Text,Health,0.056850000000000005,0.18251666666666666,0.0103760725,5000
15-25,Female,50k-75k,Rural,Text,Travel,0.03676666666666666,0.17049999999999998,0.006268716666666665,5000
15-25,Female,50k-75k,Rural,Video,Fashion,0.04464,0.21498,0.0095967072,5000
15-25,Female,50k-75k,Rural,Video,Finance,0.07096666666666666,0.18186666666666665,0.012906471111111109,5000
15-25,Female,50k-75k,Rural,Video,Food,0.0614,0.11246666666666667,0.006905453333333334,5000
15-25,Female,50k-75k,Rural,Video,Health,0.0621,0.19529999999999997,0.012128129999999999,5000
15-25,Female,50k-75k,Rural,Video,Technology,0.04918,0.1359,0.006683562,5000
15-25,Female,50k-75k,Rural,Video,Travel,0.0453,0.129425,0.005862952500000001,5000
15-25,Female,50k-75k,Suburban,Banner,Fashion,0.0501,0.23185,0.011615684999999999,5000
15-25,Female,50k-75k,Suburban,Banner,Finance,0.0409,0.22073333333333334,0.009027993333333333,5000
15-25,Female,50k-75k,Suburban,Banner,Food,0.04482,0.24626,0.0110373732,5000
15-25,Female,50k-75k,Suburban,Banner,Health,0.037225,0.28575,0.01063704375,5000
15-25,Female,50k-75k,Suburban,Banner,Technology,0.047099999999999996,0.1989,0.009368189999999998,5000
15-25,Female,50k-75k,Suburban,Banner,Travel,0.0569,0.267325,0.015210792499999999,5000
15-25,Female,50k-75k,Suburban,Native,Fashion,0.043725,0.13385,0.00585259125,5000
15-25,Female,50k-75k,Suburban,Native,Finance,0.064,0.2858428571428572,0.01829394285714286,5000
15-25,Female,50k-75k,Suburban,Native,Food,0.069,0.28835,0.01989615,5000
15-25,Female,50k-75k,Suburban,Native,Health,0.05795,0.19269999999999998,0.011166965,5000
15-25,Female,50k-75k,Suburban,Native,Technology,0.04929,0.18553999999999998,0.009145266599999998,5000
15-25,Female,50k-75k,Suburban,Native,Travel,0.054925,0.15925,0.008746806250000001,5000
15-25,Female,50k-75k,Suburban,Text,Fashion,0.04923333333333333,0.24403333333333335,0.012014574444444445,5000
15-25,Female,50k-75k,Suburban,Text,Finance,0.07585,0.16035,0.012162547499999999,5000
15-25,Female,50k-75k,Suburban,Text,Food,0.0707,0.1231,0.00870317,5000
15-25,Female,50k-75k,Suburban,Text,Health,0.04952857142857143,0.19032857142857143,0.00942670224489796,5000
15-25,Female,50k-75k,Suburban,Text,Technology,0.0317,0.1782,0.00564894,5000
15-25,Female,50k-75k,Suburban,Text,Travel,0.0494,0.17672000000000002,0.008729968000000001,5000
15-25,Female,50k-75k,Suburban,Video,Fashion,0.0611,0.21645,0.013225095000000001,5000
15-25,Female,50k-75k,Suburban,Video,Finance,0.0426,0.21735,0.00925911,5000
15-25,Female,50k-75k,Suburban,Video,Food,0.07298,0.14023999999999998,0.0102347152,5000
15-25,Female,50k-75k,Suburban,Video,Health,0.065025,0.29845,0.01940671125,5000
15-25,Female,50k-75k,Suburban,Video,Technology,0.04378,0.23814000000000002,0.0104257692,5000
15-25,Female,50k-75k,Suburban,Video,Travel,0.054475,0.32184999999999997,0.01753277875,5000
15-25,Female,50k-75k,Urban,Banner,Fashion,0.037399999999999996,0.1556,0.005819439999999999,5000
15-25,Female,50k-75k,Urban,Banner,Finance,0.03936666666666667,0.1677,0.00660179,5000
15-25,Female,50k-75k,Urban,Banner,Food,0.04915,0.20993333333333333,0.010318223333333333,5000
15-25,Female,50k-75k,Urban,Banner,Health,0.0553,0.19348,0.010699444,5000
15-25,Female,50k-75k,Urban,Banner,Technology,0.050975,0.2302125,0.011735082187499999,5000
15-25,Female,50k-75k,Urban,Banner,Travel,0.0705,0.15896666666666667,0.011207149999999999,5000
15-25,Female,50k-75k,Urban,Native,Fashion,0.07325,0.37370000000000003,0.027373525,5000
15-25,Female,50k-75k,Urban,Native,Finance,0.0396875,0.261625,0.0103832421875,5000
15-25,Female,50k-75k,Urban,Native,Food,0.0484,0.2587333333333333,0.012522693333333333,5000
15-25,Female,50k-75k,Urban,Native,Health,0.042050000000000004,0.213775,0.00898923875,5000
15-25,Female,50k-75k,Urban,Native,Technology,0.05038,0.24982,0.0125859316,5000
15-25,Female,50k-75k,Urban,Native,Travel,0.0417375,0.2568875,0.01072184203125,5000
15-25,Female,50k-75k,Urban,Text,Fashion,0.05835,0.207625,0.01211491875,5000
15-25,Female,50k-75k,Urban,Text,Finance,0.053725,0.246925,0.013266045625,5000
15-25,Female,50k-75k,Urban,Text,Food,0.037725,0.138175,0.005212651875,5000
15-25,Female,50k-75k,Urban,Text,Health,0.05578333333333333,0.2407166666666667,0.013427978055555557,5000
15-25,Female,50k-75k,Urban,Text,Technology,0.0434,0.09903333333333335,0.004298046666666667,5000
15-25,Female,50k-75k,Urban,Text,Travel,0.054925,0.24760000000000001,0.013599430000000001,5000
15-25,Female,50k-75k,Urban,Video,Fashion,0.05086666666666667,0.1135,0.0057733666666666674,5000
15-25,Female,50k-75k,Urban,Video,Finance,0.06386666666666667,0.37233333333333335,0.02377968888888889,5000
15-25,Female,50k-75k,Urban,Video,Food,0.05325,0.0944,0.0050268,5000
15-25,Female,50k-75k,Urban,Video,Health,0.0737,0.22290000000000001,0.01642773,5000
15-25,Female,50k-75k,Urban,Video,Technology,0.05653333333333333,0.28745,0.016250506666666664,5000
15-25,Female,50k-75k,Urban,Video,Travel,0.0659,0.17335714285714285,0.011424235714285714,5000
15-25,Female,75k-100k,Rural,Banner,Fashion,0.0535,0.26890000000000003,0.014386150000000002,5000
15-25,Female,75k-100k,Rural,Banner,Finance,0.0555,0.0845,0.00468975,5000
15-25,Female,75k-100k,Rural,Banner,Food,0.0793,0.1877,0.01488461,5000
15-25,Female,75k-100k,Rural,Banner,Health,0.043425,0.201725,0.008759908124999998,5000
15-25,Female,75k-100k,Rural,Banner,Technology,0.0385,0.1124,0.0043274,5000
15-25,Female,75k-100k,Rural,Banner,Travel,0.051000000000000004,0.2163,0.0110313,5000
15-25,Female,75k-100k,Rural,Native,Fashion,0.0399,0.2743,0.010944569999999999,5000
15-25,Female,75k-100k,Rural,Native,Food,0.053366666666666666,0.19553333333333334,0.010434962222222222,5000
15-25,Female,75k-100k,Rural,Native,Technology,0.0362,0.0484,0.00175208,5000
15-25,Female,75k-100k,Rural,Text,Fashion,0.0301,0.2473,0.007443729999999999,5000
15-25,Female,75k-100k,Rural,Text,Food,0.0599,0.1552,0.009296480000000001,5000
15-25,Female,75k-100k,Rural,Text,Health,0.0133,0.0814,0.0010826199999999998,5000
15-25,Female,75k-100k,Rural,Text,Technology,0.0329,0.0922,0.00303338,5000
15-25,Female,75k-100k,Rural,Video,Finance,0.0506,0.1922,0.00972532,5000
15-25,Female,75k-100k,Rural,Video,Food,0.04246666666666667,0.11533333333333333,0.004897822222222223,5000
15-25,Female,75k-100k,Rural,Video,Health,0.0564,0.1372,0.00773808,5000
15-25,Female,75k-100k,Rural,Video,Technology,0.056333333333333326,0.12373333333333332,0.00697031111111111,5000
15-25,Female,75k-100k,Suburban,Banner,Finance,0.0431,0.0297,0.00128007,5000
15-25,Female,75k-100k,Suburban,Banner,Health,0.0603,0.1322,0.00797166,5000
15-25,Female,75k-100k,Suburban,Banner,Travel,0.0464,0.1223,0.00567472,5000
15-25,Female,75k-100k,Suburban,Native,Finance,0.0371,0.1907,0.007074970000000001,5000
15-25,Female,75k-100k,Suburban,Native,Health,0.0529,0.29985,0.015862065,5000
15-25,Female,75k-100k,Suburban,Native,Technology,0.0905,0.1346,0.012181299999999999,5000
15-25,Female,75k-100k,Suburban,Text,Finance,0.0564,0.062,0.0034968,5000
15-25,Female,75k-100k,Suburban,Text,Food,0.038,0.0978,0.0037164,5000
15-25,Female,75k-100k,Suburban,Text,Health,0.05563333333333333,0.16713333333333336,0.009298184444444446,5000
15-25,Female,75k-100k,Suburban,Text,Technology,0.0629,0.1367,0.008598429999999999,5000
15-25,Female,75k-100k,Suburban,Text,Travel,0.0597,0.11215,0.006695355,5000
15-25,Female,75k-100k,Suburban,Video,Fashion,0.07375000000000001,0.24914999999999998,0.0183748125,5000
15-25,Female,75k-100k,Suburban,Video,Finance,0.0685,0.0557,0.00381545,5000
15-25,Female,75k-100k,Suburban,Video,Health,0.0455,0.2544,0.0115752,5000
15-25,Female,75k-100k,Urban,Banner,Food,0.038400000000000004,0.20285,0.007789440000000001,5000
15-25,Female,75k-100k,Urban,Banner,Health,0.0311,0.2835,0.00881685,5000
15-25,Female,75k-100k,Urban,Banner,Technology,0.0197,0.1439,0.00283483,5000
15-25,Female,75k-100k,Urban,Banner,Travel,0.05126666666666666,0.14686666666666667,0.007529364444444444,5000
15-25,Female,75k-100k,Urban,Native,Fashion,0.0371,0.0794,0.00294574,5000
15-25,Female,75k-100k,Urban,Native,Finance,0.0244,0.2537,0.00619028,5000
15-25,Female,75k-100k,Urban,Native,Health,0.0558,0.3296,0.01839168,5000
15-25,Female,75k-100k,Urban,Native,Technology,0.0429,0.16125,0.006917625,5000
15-25,Female,75k-100k,Urban,Text,Fashion,0.0562,0.2434,0.01367908,5000
15-25,Female,75k-100k,Urban,Text,Finance,0.0316,0.1604,0.00506864,5000
15-25,Female,75k-100k,Urban,Text,Food,0.02505,0.36375,0.0091119375,5000
15-25,Female,75k-100k,Urban,Video,Finance,0.0369,0.1755,0.00647595,5000
15-25,Female,75k-100k,Urban,Video,Food,0.06230000000000001,0.1446,0.009008580000000002,5000
15-25,Female,75k-100k,Urban,Video,Technology,0.0642,0.0382,0.0024524399999999997,5000
15-25,Female,75k-100k,Urban,Video,Travel,0.04595,0.1222,0.00561509,5000
15-25,Female,100k+,Rural,Banner,Food,0.0742,0.4045,0.030013900000000003,5000
15-25,Female,100k+,Rural,Text,Health,0.0419,0.0409,0.00171371,5000
15-25,Female,100k+,Urban,Banner,Technology,0.0685,0.1224,0.0083844,5000
15-25,Female,100k+,Urban,Banner,Travel,0.0512,0.0771,0.00394752,5000
15-25,Female,100k+,Urban,Video,Food,0.0879,0.1589,0.013967310000000002,5000
15-25,Female,100k+,Urban,Video,Travel,0.0284,0.1041,0.0029564400000000003,5000
15-25,Male,0-25k,Rural,Banner,Fashion,0.041499999999999995,0.1829,0.007590349999999999,5000
15-25,Male,0-25k,Rural,Banner,Finance,0.032,0.0923,0.0029536,5000
15-25,Male,0-25k,Rural,Banner,Food,0.0463,0.3944,0.018260719999999998,5000
15-25,Male,0-25k,Rural,Banner,Health,0.05965,0.2566,0.01530619,5000
15-25,Male,0-25k,Rural,Banner,Technology,0.043199999999999995,0.19233333333333333,0.008308799999999998,5000
15-25,Male,0-25k,Rural,Native,Finance,0.0334,0.198,0.0066132000000000005,5000
15-25,Male,0-25k,Rural,Native,Health,0.044333333333333336,0.20666666666666667,0.009162222222222223,5000
15-25,Male,0-25k,Rural,Text,Fashion,0.0386,0.4274,0.01649764,5000
15-25,Male,0-25k,Rural,Video,Fashion,0.0559,0.24345,0.013608855,5000
15-25,Male,0-25k,Rural,Video,Finance,0.0408,0.6172,0.02518176,5000
15-25,Male,0-25k,Rural,Video,Health,0.057550000000000004,0.28775,0.016560012500000002,5000
15-25,Male,0-25k,Rural,Video,Technology,0.05616666666666666,0.17453333333333335,0.009802955555555555,5000
15-25,Male,0-25k,Suburban,Banner,Finance,0.05395,0.10905000000000001,0.0058832475,5000
15-25,Male,0-25k,Suburban,Banner,Food,0.0644,0.19770000000000001,0.012731880000000001,5000
15-25,Male,0-25k,Suburban,Banner,Health,0.04285,0.15345,0.0065753325,5000
15-25,Male,0-25k,Suburban,Banner,Technology,0.0248,0.1637,0.00405976,5000
15-25,Male,0-25k,Suburban,Banner,Travel,0.056425,0.24795,0.013990578750000001,5000
15-25,Male,0-25k,Suburban,Native,Finance,0.058550000000000005,0.17085,0.010003267500000001,5000
15-25,Male,0-25k,Suburban,Native,Health,0.030600000000000002,0.10565,0.00323289,5000
15-25,Male,0-25k,Suburban,Native,Technology,0.0523,0.183,0.0095709,5000
15-25,Male,0-25k,Suburban,Native,Travel,0.0442,0.14295999999999998,0.006318831999999999,5000
15-25,Male,0-25k,Suburban,Text,Finance,0.0316,0.1671,0.0052803600000000004,5000
15-25,Male,0-25k,Suburban,Text,Food,0.0677,0.183,0.012389099999999998,5000
15-25,Male,0-25k,Suburban,Text,Health,0.0515,0.0471,0.00242565,5000
15-25,Male,0-25k,Suburban,Text,Travel,0.0536,0.11035,0.005914760000000001,5000
15-25,Male,0-25k,Suburban,Video,Fashion,0.0455,0.1274,0.0057967,5000
15-25,Male,0-25k,Suburban,Video,Finance,0.0701,0.0866,0.006070659999999999,5000
15-25,Male,0-25k,Suburban,Video,Food,0.04068,0.16954,0.0068968872,5000
15-25,Male,0-25k,Suburban,Video,Travel,0.056150000000000005,0.44005,0.024708807500000003,5000
15-25,Male,0-25k,Urban,Banner,Food,0.029500000000000002,0.229,0.006755500000000001,5000
15-25,Male,0-25k,Urban,Banner,Health,0.0544,0.3173,0.01726112,5000
15-25,Male,0-25k,Urban,Banner,Technology,0.0423,0.1435,0.006070049999999999,5000
15-25,Male,0-25k,Urban,Banner,Travel,0.0785,0.2788,0.0218858,5000
15-25,Male,0-25k,Urban,Native,Fashion,0.0566,0.34015,0.01925249,5000
15-25,Male,0-25k,Urban,Native,Health,0.0529,0.3558666666666667,0.01882534666666667,5000
15-25,Male,0-25k,Urban,Native,Technology,0.0372,0.1199,0.00446028,5000
15-25,Male,0-25k,Urban,Native,Travel,0.04563333333333333,0.21096666666666666,0.009627112222222222,5000
15-25,Male,0-25k,Urban,Text,Fashion,0.0417,0.1382,0.005762939999999999,5000
15-25,Male,0-25k,Urban,Text,Finance,0.0603,0.15685,0.009458055,5000
15-25,Male,0-25k,Urban,Text,Food,0.0434,0.2846,0.01235164,5000
15-25,Male,0-25k,Urban,Text,Technology,0.051250000000000004,0.1749,0.008963625000000001,5000
15-25,Male,0-25k,Urban,Text,Travel,0.0345,0.2154,0.007431300000000001,5000
15-25,Male,0-25k,Urban,Video,Fashion,0.0588,0.3733,0.02195004,5000
15-25,Male,0-25k,Urban,Video,Finance,0.052039999999999996,0.30654,0.015952341599999996,5000
15-25,Male,0-25k,Urban,Video,Food,0.0806,0.0993,0.00800358,5000
15-25,Male,0-25k,Urban,Video,Health,0.0443,0.2609,0.011557870000000001,5000
15-25,Male,0-25k,Urban,Video,Technology,0.0479,0.24004999999999999,0.011498394999999998,5000
15-25,Male,0-25k,Urban,Video,Travel,0.04585,0.50265,0.023046502500000003,5000
15-25,Male,25k-50k,Rural,Banner,Fashion,0.0354,0.30715,0.01087311,5000
15-25,Male,25k-50k,Rural,Banner,Finance,0.042614285714285716,0.17424285714285714,0.007425234897959184,5000
15-25,Male,25k-50k,Rural,Banner,Food,0.06312857142857144,0.27375714285714287,0.017281897346938777,5000
15-25,Male,25k-50k,Rural,Banner,Health,0.0333,0.20284,0.006754572,5000
15-25,Male,25k-50k,Rural,Banner,Technology,0.03768333333333333,0.17448333333333332,0.006575113611111111,5000
15-25,Male,25k-50k,Rural,Banner,Travel,0.0511,0.2063,0.01054193,5000
15-25,Male,25k-50k,Rural,Native,Fashion,0.037700000000000004,0.21786666666666665,0.008213573333333333,5000
15-25,Male,25k-50k,Rural,Native,Finance,0.058100000000000006,0.18186666666666665,0.010566453333333333,5000
15-25,Male,25k-50k,Rural,Native,Food,0.03746666666666667,0.3143333333333333,0.011777022222222221,5000
15-25,Male,25k-50k,Rural,Native,Health,0.03305,0.22066666666666668,0.007293033333333334,5000
15-25,Male,25k-50k,Rural,Native,Technology,0.0450125,0.26915,0.012115114375,5000
15-25,Male,25k-50k,Rural,Native,Travel,0.051800000000000006,0.14476666666666668,0.007498913333333335,5000
15-25,Male,25k-50k,Rural,Text,Fashion,0.06656666666666666,0.46976666666666667,0.03127080111111111,5000
15-25,Male,25k-50k,Rural,Text,Finance,0.0616375,0.2048875,0.01262875328125,5000
15-25,Male,25k-50k,Rural,Text,Food,0.0436,0.25923333333333337,0.011302573333333335,5000
