age_range,gender,income_range,location,ad_type,ad_topic,ctr,conversion_rate,conv_per_impr,ub,allocated_impressions,expected_conversions
15-25,Female,0-25k,Urban,Banner,Health,0.04495,0.16845,0.0075718275,5000,0,0.0
15-25,Female,0-25k,Urban,Banner,Travel,0.0516,0.24255,0.01251558,5000,0,0.0
15-25,Female,0-25k,Urban,Native,Finance,0.086,0.0681,0.0058565999999999,5000,0,0.0
15-25,Female,0-25k,Urban,Native,Health,0.003,0.1112,0.0003336,5000,0,0.0
15-25,Female,0-25k,Urban,Native,Technology,0.0532,0.3262,0.01735384,5000,0,0.0
15-25,Female,0-25k,Urban,Text,Finance,0.0606,0.1208,0.00732048,5000,0,0.0
15-25,Female,0-25k,Urban,Text,Health,0.0778,0.0813,0.0063251399999999,5000,0,0.0
15-25,Female,0-25k,Urban,Text,Technology,0.0546,0.169,0.0092274,5000,0,0.0
15-25,Female,0-25k,Urban,Text,Travel,0.0297,0.1531,0.00454707,5000,0,0.0
15-25,Female,0-25k,Urban,Video,Fashion,0.0445,0.0519,0.00230955,5000,0,0.0
15-25,Female,0-25k,Urban,Video,Food,0.0433666666666666,0.1222333333333333,0.0053008522222222,5000,0,0.0
15-25,Female,0-25k,Urban,Video,Health,0.04925,0.2286,0.01125855,5000,0,0.0
15-25,Female,0-25k,Urban,Video,Technology,0.07425,0.11335,0.0084162375,5000,0,0.0
15-25,Female,0-25k,Urban,Video,Travel,0.046,0.16665,0.0076659,5000,0,0.0
15-25,Female,25k-50k,Rural,Banner,Fashion,0.0779499999999999,0.1459,0.0113729049999999,5000,0,0.0
15-25,Female,25k-50k,Rural,Banner,Finance,0.041275,0.29605,0.01221946375,5000,0,0.0
15-25,Female,25k-50k,Rural,Banner,Food,0.04008,0.12364,0.0049554912,5000,0,0.0
15-25,Female,25k-50k,Rural,Banner,Health,0.0461666666666666,0.2316833333333333,0.0106960472222222,5000,0,0.0
15-25,Female,25k-50k,Rural,Banner,Technology,0.0646333333333333,0.2558666666666667,0.0165375155555555,5000,0,0.0
15-25,Female,25k-50k,Rural,Banner,Travel,0.06044,0.14554,0.0087964376,5000,0,0.0
15-25,Female,25k-50k,Rural,Native,Fashion,0.02875,0.27985,0.0080456875,5000,0,0.0
15-25,Female,25k-50k,Rural,Native,Food,0.057,0.168325,0.009594525,5000,0,0.0
15-25,Female,25k-50k,Rural,Native,Health,0.045275,0.1459,0.0066056225,5000,0,0.0
15-25,Female,25k-50k,Rural,Native,Technology,0.05536,0.20246,0.0112081856,5000,0,0.0
15-25,Female,25k-50k,Rural,Native,Travel,0.0518666666666666,0.2052833333333333,0.0106473622222222,5000,0,0.0
15-25,Female,25k-50k,Rural,Text,Fashion,0.0353249999999999,0.178,0.0062878499999999,5000,0,0.0
15-25,Female,25k-50k,Rural,Text,Finance,0.0304666666666666,0.1416666666666667,0.0043161111111111,5000,0,0.0
15-25,Female,25k-50k,Rural,Text,Food,0.0557,0.2775333333333333,0.0154586066666666,5000,0,0.0
15-25,Female,25k-50k,Rural,Text,Health,0.05956,0.17386,0.0103551016,5000,0,0.0
15-25,Female,25k-50k,Rural,Text,Technology,0.0460833333333333,0.1221,0.005626775,5000,0,0.0
15-25,Female,25k-50k,Rural,Text,Travel,0.0485666666666666,0.2516333333333333,0.0122209922222222,5000,0,0.0
15-25,Female,25k-50k,Rural,Video,Fashion,0.0607666666666666,0.1505,0.0091453833333333,5000,0,0.0
15-25,Female,25k-50k,Rural,Video,Finance,0.0378999999999999,0.2080333333333333,0.0078844633333333,5000,0,0.0
15-25,Female,25k-50k,Rural,Video,Food,0.0594666666666666,0.2471,0.0146942133333333,5000,0,0.0
15-25,Female,25k-50k,Rural,Video,Health,0.0605999999999999,0.2386,0.0144591599999999,5000,0,0.0
15-25,Female,25k-50k,Rural,Video,Technology,0.0537666666666666,0.1265,0.0068014833333333,5000,0,0.0
15-25,Female,25k-50k,Rural,Video,Travel,0.04485,0.2499833333333333,0.0112117525,5000,0,0.0
15-25,Female,25k-50k,Suburban,Banner,Fashion,0.0304666666666666,0.2090999999999999,0.0063705799999999,5000,0,0.0
15-25,Female,25k-50k,Suburban,Banner,Finance,0.0553666666666666,0.1567666666666666,0.0086796477777777,5000,0,0.0
15-25,Female,25k-50k,Suburban,Banner,Food,0.0401,0.27065,0.0108530649999999,5000,0,0.0
15-25,Female,25k-50k,Suburban,Banner,Health,0.04865,0.096,0.0046704,5000,0,0.0
15-25,Female,25k-50k,Suburban,Banner,Travel,0.04935,0.0924,0.00455994,5000,0,0.0
15-25,Female,25k-50k,Suburban,Native,Food,0.0381,0.2544,0.00969264,5000,0,0.0
15-25,Female,25k-50k,Suburban,Native,Health,0.0416,0.1418333333333333,0.0059002666666666,5000,0,0.0
15-25,Female,25k-50k,Suburban,Native,Technology,0.0523,0.1256,0.0065688799999999,5000,0,0.0
15-25,Female,25k-50k,Suburban,Text,Fashion,0.0570571428571428,0.1810142857142857,0.0103281579591836,5000,0,0.0
15-25,Female,25k-50k,Suburban,Text,Finance,0.03425,0.386225,0.01322820625,5000,0,0.0
15-25,Female,25k-50k,Suburban,Text,Food,0.05665,0.20915,0.0118483475,5000,0,0.0
15-25,Female,25k-50k,Suburban,Text,Health,0.0555428571428571,0.1753714285714285,0.0097406302040816,5000,0,0.0
15-25,Female,25k-50k,Suburban,Text,Technology,0.036,0.2673,0.0096228,5000,0,0.0
15-25,Female,25k-50k,Suburban,Text,Travel,0.04805,0.267775,0.01286658875,5000,0,0.0
15-25,Female,25k-50k,Suburban,Video,Fashion,0.0557799999999999,0.27326,0.0152424427999999,5000,0,0.0
15-25,Female,25k-50k,Suburban,Video,Finance,0.0333666666666666,0.1912666666666666,0.0063819311111111,5000,0,0.0
15-25,Female,25k-50k,Suburban,Video,Food,0.0448,0.2176857142857143,0.00975232,5000,0,0.0
15-25,Female,25k-50k,Suburban,Video,Health,0.0410125,0.2624,0.01076168,5000,0,0.0
15-25,Female,25k-50k,Suburban,Video,Technology,0.0509,0.11555,0.005881495,5000,0,0.0
15-25,Female,25k-50k,Suburban,Video,Travel,0.05366,0.14308,0.0076776728,5000,0,0.0
15-25,Female,25k-50k,Urban,Banner,Fashion,0.0454714285714285,0.2193142857142857,0.009972533877551,5000,0,0.0
15-25,Female,25k-50k,Urban,Banner,Finance,0.0579333333333333,0.2518,0.0145876133333333,5000,0,0.0
15-25,Female,25k-50k,Urban,Banner,Food,0.04178,0.19938,0.0083300963999999,5000,0,0.0
15-25,Female,25k-50k,Urban,Banner,Health,0.0395,0.2042,0.0080658999999999,5000,0,0.0
15-25,Female,25k-50k,Urban,Banner,Technology,0.0692777777777777,0.1385777777777777,0.0096003604938271,5000,0,0.0
15-25,Female,25k-50k,Urban,Banner,Travel,0.0612,0.0593,0.0036291599999999,5000,0,0.0
15-25,Female,25k-50k,Urban,Native,Fashion,0.06885,0.16935,0.0116597475,5000,0,0.0
15-25,Female,25k-50k,Urban,Native,Finance,0.0535666666666666,0.1674833333333333,0.0089715238888888,5000,0,0.0
15-25,Female,25k-50k,Urban,Native,Food,0.0433666666666666,0.1059333333333333,0.0045939755555555,5000,0,0.0
15-25,Female,25k-50k,Urban,Native,Health,0.03966,0.2018399999999999,0.0080049743999999,5000,0,0.0
15-25,Female,25k-50k,Urban,Native,Technology,0.0561333333333333,0.1041,0.00584348,5000,0,0.0
15-25,Female,25k-50k,Urban,Native,Travel,0.0703,0.0884,0.00621452,5000,0,0.0
15-25,Female,25k-50k,Urban,Text,Fashion,0.047375,0.172575,0.008175740625,5000,0,0.0
15-25,Female,25k-50k,Urban,Text,Finance,0.0371,0.15395,0.005711545,5000,0,0.0
15-25,Female,25k-50k,Urban,Text,Food,0.0576333333333333,0.2675333333333333,0.0154188377777777,5000,0,0.0
15-25,Female,25k-50k,Urban,Text,Health,0.05564,0.26592,0.0147957888,5000,0,0.0
15-25,Female,25k-50k,Urban,Text,Technology,0.0525125,0.19195,0.010079774375,5000,0,0.0
15-25,Female,25k-50k,Urban,Text,Travel,0.0627,0.36695,0.023007765,5000,5000,115.038825
15-25,Female,25k-50k,Urban,Video,Fashion,0.0666,0.1658666666666666,0.01104672,5000,0,0.0
15-25,Female,25k-50k,Urban,Video,Finance,0.0571,0.154075,0.0087976825,5000,0,0.0
15-25,Female,25k-50k,Urban,Video,Food,0.06186,0.21,0.0129906,5000,0,0.0
15-25,Female,25k-50k,Urban,Video,Health,0.05015,0.244,0.0122366,5000,0,0.0
15-25,Female,25k-50k,Urban,Video,Technology,0.05772,0.24196,0.0139659312,5000,0,0.0
15-25,Female,25k-50k,Urban,Video,Travel,0.0618,0.1535666666666666,0.00949042,5000,0,0.0
15-25,Female,50k-75k,Rural,Banner,Fashion,0.062,0.3041,0.0188541999999999,5000,5000,94.2709999999995
15-25,Female,50k-75k,Rural,Banner,Finance,0.05955,0.233625,0.01391236875,5000,0,0.0
15-25,Female,50k-75k,Rural,Banner,Food,0.0666333333333333,0.1362333333333333,0.0090776811111111,5000,0,0.0
15-25,Female,50k-75k,Rural,Banner,Health,0.0664,0.0596,0.00395744,5000,0,0.0
15-25,Female,50k-75k,Rural,Banner,Technology,0.0261,0.1658,0.00432738,5000,0,0.0
15-25,Female,50k-75k,Rural,Banner,Travel,0.04294,0.2178,0.009352332,5000,0,0.0
15-25,Female,50k-75k,Rural,Native,Fashion,0.0330666666666666,0.2597666666666666,0.0085896177777777,5000,0,0.0
15-25,Female,50k-75k,Rural,Native,Finance,0.053575,0.27415,0.0146875862499999,5000,0,0.0
15-25,Female,50k-75k,Rural,Native,Food,0.0593399999999999,0.27648,0.0164063231999999,5000,0,0.0
15-25,Female,50k-75k,Rural,Native,Health,0.0444,0.1701,0.00755244,5000,0,0.0
15-25,Female,50k-75k,Rural,Native,Technology,0.0515428571428571,0.1532857142857142,0.0079007836734693,5000,0,0.0
15-25,Female,50k-75k,Rural,Native,Travel,0.044475,0.127,0.005648325,5000,0,0.0
15-25,Female,50k-75k,Rural,Text,Fashion,0.0493199999999999,0.28148,0.0138825936,5000,0,0.0
15-25,Female,50k-75k,Rural,Text,Finance,0.05105,0.1696,0.00865808,5000,0,0.0
15-25,Female,50k-75k,Rural,Text,Food,0.0678,0.2098399999999999,0.0142271519999999,5000,0,0.0
15-25,Female,50k-75k,Rural,Text,Health,0.05685,0.1825166666666666,0.0103760725,5000,0,0.0
15-25,Female,50k-75k,Rural,Text,Travel,0.0367666666666666,0.1704999999999999,0.0062687166666666,5000,0,0.0
15-25,Female,50k-75k,Rural,Video,Fashion,0.04464,0.21498,0.0095967072,5000,0,0.0
15-25,Female,50k-75k,Rural,Video,Finance,0.0709666666666666,0.1818666666666666,0.0129064711111111,5000,0,0.0
15-25,Female,50k-75k,Rural,Video,Food,0.0614,0.1124666666666666,0.0069054533333333,5000,0,0.0
15-25,Female,50k-75k,Rural,Video,Health,0.0621,0.1952999999999999,0.0121281299999999,5000,0,0.0
15-25,Female,50k-75k,Rural,Video,Technology,0.04918,0.1359,0.006683562,5000,0,0.0
15-25,Female,50k-75k,Rural,Video,Travel,0.0453,0.129425,0.0058629525,5000,0,0.0
15-25,Female,50k-75k,Suburban,Banner,Fashion,0.0501,0.23185,0.0116156849999999,5000,0,0.0
15-25,Female,50k-75k,Suburban,Banner,Finance,0.0409,0.2207333333333333,0.0090279933333333,5000,0,0.0
15-25,Female,50k-75k,Suburban,Banner,Food,0.04482,0.24626,0.0110373732,5000,0,0.0
15-25,Female,50k-75k,Suburban,Banner,Health,0.037225,0.28575,0.01063704375,5000,0,0.0
15-25,Female,50k-75k,Suburban,Banner,Technology,0.0470999999999999,0.1989,0.0093681899999999,5000,0,0.0
15-25,Female,50k-75k,Suburban,Banner,Travel,0.0569,0.267325,0.0152107924999999,5000,0,0.0
15-25,Female,50k-75k,Suburban,Native,Fashion,0.043725,0.13385,0.00585259125,5000,0,0.0
15-25,Female,50k-75k,Suburban,Native,Finance,0.064,0.2858428571428572,0.0182939428571428,5000,5000,91.469714285714
15-25,Female,50k-75k,Suburban,Native,Food,0.069,0.28835,0.01989615,5000,5000,99.48075
15-25,Female,50k-75k,Suburban,Native,Health,0.05795,0.1926999999999999,0.011166965,5000,0,0.0
15-25,Female,50k-75k,Suburban,Native,Technology,0.04929,0.1855399999999999,0.0091452665999999,5000,0,0.0
15-25,Female,50k-75k,Suburban,Native,Travel,0.054925,0.15925,0.00874680625,5000,0,0.0
15-25,Female,50k-75k,Suburban,Text,Fashion,0.0492333333333333,0.2440333333333333,0.0120145744444444,5000,0,0.0
15-25,Female,50k-75k,Suburban,Text,Finance,0.07585,0.16035,0.0121625474999999,5000,0,0.0
15-25,Female,50k-75k,Suburban,Text,Food,0.0707,0.1231,0.00870317,5000,0,0.0
15-25,Female,50k-75k,Suburban,Text,Health,0.0495285714285714,0.1903285714285714,0.0094267022448979,5000,0,0.0
15-25,Female,50k-75k,Suburban,Text,Technology,0.0317,0.1782,0.00564894,5000,0,0.0
15-25,Female,50k-75k,Suburban,Text,Travel,0.0494,0.17672,0.008729968,5000,0,0.0
15-25,Female,50k-75k,Suburban,Video,Fashion,0.0611,0.21645,0.013225095,5000,0,0.0
15-25,Female,50k-75k,Suburban,Video,Finance,0.0426,0.21735,0.00925911,5000,0,0.0
15-25,Female,50k-75k,Suburban,Video,Food,0.07298,0.1402399999999999,0.0102347152,5000,0,0.0
15-25,Female,50k-75k,Suburban,Video,Health,0.065025,0.29845,0.01940671125,5000,5000,97.03355625
15-25,Female,50k-75k,Suburban,Video,Technology,0.04378,0.23814,0.0104257692,5000,0,0.0
15-25,Female,50k-75k,Suburban,Video,Travel,0.054475,0.3218499999999999,0.01753277875,5000,0,0.0
15-25,Female,50k-75k,Urban,Banner,Fashion,0.0373999999999999,0.1556,0.0058194399999999,5000,0,0.0
15-25,Female,50k-75k,Urban,Banner,Finance,0.0393666666666666,0.1677,0.00660179,5000,0,0.0
15-25,Female,50k-75k,Urban,Banner,Food,0.04915,0.2099333333333333,0.0103182233333333,5000,0,0.0
15-25,Female,50k-75k,Urban,Banner,Health,0.0553,0.19348,0.010699444,5000,0,0.0
15-25,Female,50k-75k,Urban,Banner,Technology,0.050975,0.2302125,0.0117350821874999,5000,0,0.0
15-25,Female,50k-75k,Urban,Banner,Travel,0.0705,0.1589666666666666,0.0112071499999999,5000,0,0.0
15-25,Female,50k-75k,Urban,Native,Fashion,0.07325,0.3737,0.027373525,5000,5000,136.867625
15-25,Female,50k-75k,Urban,Native,Finance,0.0396875,0.261625,0.0103832421875,5000,0,0.0
15-25,Female,50k-75k,Urban,Native,Food,0.0484,0.2587333333333333,0.0125226933333333,5000,0,0.0
15-25,Female,50k-75k,Urban,Native,Health,0.04205,0.213775,0.00898923875,5000,0,0.0
15-25,Female,50k-75k,Urban,Native,Technology,0.05038,0.24982,0.0125859316,5000,0,0.0
15-25,Female,50k-75k,Urban,Native,Travel,0.0417375,0.2568875,0.01072184203125,5000,0,0.0
15-25,Female,50k-75k,Urban,Text,Fashion,0.05835,0.207625,0.01211491875,5000,0,0.0
15-25,Female,50k-75k,Urban,Text,Finance,0.053725,0.246925,0.013266045625,5000,0,0.0
15-25,Female,50k-75k,Urban,Text,Food,0.037725,0.138175,0.005212651875,5000,0,0.0
15-25,Female,50k-75k,Urban,Text,Health,0.0557833333333333,0.2407166666666667,0.0134279780555555,5000,0,0.0
15-25,Female,50k-75k,Urban,Text,Technology,0.0434,0.0990333333333333,0.0042980466666666,5000,0,0.0
15-25,Female,50k-75k,Urban,Text,Travel,0.054925,0.2476,0.01359943,5000,0,0.0
15-25,Female,50k-75k,Urban,Video,Fashion,0.0508666666666666,0.1135,0.0057733666666666,5000,0,0.0
15-25,Female,50k-75k,Urban,Video,Finance,0.0638666666666666,0.3723333333333333,0.0237796888888888,5000,5000,118.898444444444
15-25,Female,50k-75k,Urban,Video,Food,0.05325,0.0944,0.0050268,5000,0,0.0
15-25,Female,50k-75k,Urban,Video,Health,0.0737,0.2229,0.01642773,5000,0,0.0
15-25,Female,50k-75k,Urban,Video,Technology,0.0565333333333333,0.28745,0.0162505066666666,5000,0,0.0
15-25,Female,50k-75k,Urban,Video,Travel,0.0659,0.1733571428571428,0.0114242357142857,5000,0,0.0
15-25,Female,75k-100k,Rural,Banner,Fashion,0.0535,0.2689,0.01438615,5000,0,0.0
15-25,Female,75k-100k,Rural,Banner,Finance,0.0555,0.0845,0.00468975,5000,0,0.0
15-25,Female,75k-100k,Rural,Banner,Food,0.0793,0.1877,0.01488461,5000,0,0.0
15-25,Female,75k-100k,Rural,Banner,Health,0.043425,0.201725,0.0087599081249999,5000,0,0.0
15-25,Female,75k-100k,Rural,Banner,Technology,0.0385,0.1124,0.0043274,5000,0,0.0
15-25,Female,75k-100k,Rural,Banner,Travel,0.051,0.2163,0.0110313,5000,0,0.0
15-25,Female,75k-100k,Rural,Native,Fashion,0.0399,0.2743,0.0109445699999999,5000,0,0.0
15-25,Female,75k-100k,Rural,Native,Food,0.0533666666666666,0.1955333333333333,0.0104349622222222,5000,0,0.0
15-25,Female,75k-100k,Rural,Native,Technology,0.0362,0.0484,0.00175208,5000,0,0.0
15-25,Female,75k-100k,Rural,Text,Fashion,0.0301,0.2473,0.0074437299999999,5000,0,0.0
15-25,Female,75k-100k,Rural,Text,Food,0.0599,0.1552,0.00929648,5000,0,0.0
15-25,Female,75k-100k,Rural,Text,Health,0.0133,0.0814,0.0010826199999999,5000,0,0.0
15-25,Female,75k-100k,Rural,Text,Technology,0.0329,0.0922,0.00303338,5000,0,0.0
15-25,Female,75k-100k,Rural,Video,Finance,0.0506,0.1922,0.00972532,5000,0,0.0
15-25,Female,75k-100k,Rural,Video,Food,0.0424666666666666,0.1153333333333333,0.0048978222222222,5000,0,0.0
15-25,Female,75k-100k,Rural,Video,Health,0.0564,0.1372,0.00773808,5000,0,0.0
15-25,Female,75k-100k,Rural,Video,Technology,0.0563333333333333,0.1237333333333333,0.0069703111111111,5000,0,0.0
15-25,Female,75k-100k,Suburban,Banner,Finance,0.0431,0.0297,0.00128007,5000,0,0.0
15-25,Female,75k-100k,Suburban,Banner,Health,0.0603,0.1322,0.00797166,5000,0,0.0
15-25,Female,75k-100k,Suburban,Banner,Travel,0.0464,0.1223,0.00567472,5000,0,0.0
15-25,Female,75k-100k,Suburban,Native,Finance,0.0371,0.1907,0.00707497,5000,0,0.0
15-25,Female,75k-100k,Suburban,Native,Health,0.0529,0.29985,0.015862065,5000,0,0.0
15-25,Female,75k-100k,Suburban,Native,Technology,0.0905,0.1346,0.0121812999999999,5000,0,0.0
15-25,Female,75k-100k,Suburban,Text,Finance,0.0564,0.062,0.0034968,5000,0,0.0
15-25,Female,75k-100k,Suburban,Text,Food,0.038,0.0978,0.0037164,5000,0,0.0
15-25,Female,75k-100k,Suburban,Text,Health,0.0556333333333333,0.1671333333333333,0.0092981844444444,5000,0,0.0
15-25,Female,75k-100k,Suburban,Text,Technology,0.0629,0.1367,0.0085984299999999,5000,0,0.0
15-25,Female,75k-100k,Suburban,Text,Travel,0.0597,0.11215,0.006695355,5000,0,0.0
15-25,Female,75k-100k,Suburban,Video,Fashion,0.07375,0.2491499999999999,0.0183748125,5000,5000,91.87406250000001
15-25,Female,75k-100k,Suburban,Video,Finance,0.0685,0.0557,0.00381545,5000,0,0.0
15-25,Female,75k-100k,Suburban,Video,Health,0.0455,0.2544,0.0115752,5000,0,0.0
15-25,Female,75k-100k,Urban,Banner,Food,0.0384,0.20285,0.00778944,5000,0,0.0
15-25,Female,75k-100k,Urban,Banner,Health,0.0311,0.2835,0.00881685,5000,0,0.0
15-25,Female,75k-100k,Urban,Banner,Technology,0.0197,0.1439,0.00283483,5000,0,0.0
15-25,Female,75k-100k,Urban,Banner,Travel,0.0512666666666666,0.1468666666666666,0.0075293644444444,5000,0,0.0
15-25,Female,75k-100k,Urban,Native,Fashion,0.0371,0.0794,0.00294574,5000,0,0.0
15-25,Female,75k-100k,Urban,Native,Finance,0.0244,0.2537,0.00619028,5000,0,0.0
15-25,Female,75k-100k,Urban,Native,Health,0.0558,0.3296,0.01839168,5000,5000,91.9584
15-25,Female,75k-100k,Urban,Native,Technology,0.0429,0.16125,0.006917625,5000,0,0.0
15-25,Female,75k-100k,Urban,Text,Fashion,0.0562,0.2434,0.01367908,5000,0,0.0
15-25,Female,75k-100k,Urban,Text,Finance,0.0316,0.1604,0.00506864,5000,0,0.0
15-25,Female,75k-100k,Urban,Text,Food,0.02505,0.36375,0.0091119375,5000,0,0.0
15-25,Female,75k-100k,Urban,Video,Finance,0.0369,0.1755,0.00647595,5000,0,0.0
15-25,Female,75k-100k,Urban,Video,Food,0.0623,0.1446,0.00900858,5000,0,0.0
15-25,Female,75k-100k,Urban,Video,Technology,0.0642,0.0382,0.0024524399999999,5000,0,0.0
15-25,Female,75k-100k,Urban,Video,Travel,0.04595,0.1222,0.00561509,5000,0,0.0
15-25,Female,100k+,Rural,Banner,Food,0.0742,0.4045,0.0300139,5000,5000,150.0695
15-25,Female,100k+,Rural,Text,Health,0.0419,0.0409,0.00171371,5000,0,0.0
15-25,Female,100k+,Urban,Banner,Technology,0.0685,0.1224,0.0083844,5000,0,0.0
15-25,Female,100k+,Urban,Banner,Travel,0.0512,0.0771,0.00394752,5000,0,0.0
15-25,Female,100k+,Urban,Video,Food,0.0879,0.1589,0.01396731,5000,0,0.0
15-25,Female,100k+,Urban,Video,Travel,0.0284,0.1041,0.00295644,5000,0,0.0
15-25,Male,0-25k,Rural,Banner,Fashion,0.0414999999999999,0.1829,0.0075903499999999,5000,0,0.0
15-25,Male,0-25k,Rural,Banner,Finance,0.032,0.0923,0.0029536,5000,0,0.0
15-25,Male,0-25k,Rural,Banner,Food,0.0463,0.3944,0.0182607199999999,5000,5000,91.3035999999995
15-25,Male,0-25k,Rural,Banner,Health,0.05965,0.2566,0.01530619,5000,0,0.0
15-25,Male,0-25k,Rural,Banner,Technology,0.0431999999999999,0.1923333333333333,0.0083087999999999,5000,0,0.0
15-25,Male,0-25k,Rural,Native,Finance,0.0334,0.198,0.0066132,5000,0,0.0
15-25,Male,0-25k,Rural,Native,Health,0.0443333333333333,0.2066666666666666,0.0091622222222222,5000,0,0.0
15-25,Male,0-25k,Rural,Text,Fashion,0.0386,0.4274,0.01649764,5000,0,0.0
15-25,Male,0-25k,Rural,Video,Fashion,0.0559,0.24345,0.013608855,5000,0,0.0
15-25,Male,0-25k,Rural,Video,Finance,0.0408,0.6172,0.02518176,5000,5000,125.9088
15-25,Male,0-25k,Rural,Video,Health,0.05755,0.28775,0.0165600125,5000,0,0.0
15-25,Male,0-25k,Rural,Video,Technology,0.0561666666666666,0.1745333333333333,0.0098029555555555,5000,0,0.0
15-25,Male,0-25k,Suburban,Banner,Finance,0.05395,0.10905,0.0058832475,5000,0,0.0
15-25,Male,0-25k,Suburban,Banner,Food,0.0644,0.1977,0.01273188,5000,0,0.0
15-25,Male,0-25k,Suburban,Banner,Health,0.04285,0.15345,0.0065753325,5000,0,0.0
15-25,Male,0-25k,Suburban,Banner,Technology,0.0248,0.1637,0.00405976,5000,0,0.0
15-25,Male,0-25k,Suburban,Banner,Travel,0.056425,0.24795,0.01399057875,5000,0,0.0
15-25,Male,0-25k,Suburban,Native,Finance,0.05855,0.17085,0.0100032675,5000,0,0.0
15-25,Male,0-25k,Suburban,Native,Health,0.0306,0.10565,0.00323289,5000,0,0.0
15-25,Male,0-25k,Suburban,Native,Technology,0.0523,0.183,0.0095709,5000,0,0.0
15-25,Male,0-25k,Suburban,Native,Travel,0.0442,0.1429599999999999,0.0063188319999999,5000,0,0.0
15-25,Male,0-25k,Suburban,Text,Finance,0.0316,0.1671,0.00528036,5000,0,0.0
15-25,Male,0-25k,Suburban,Text,Food,0.0677,0.183,0.0123890999999999,5000,0,0.0
15-25,Male,0-25k,Suburban,Text,Health,0.0515,0.0471,0.00242565,5000,0,0.0
15-25,Male,0-25k,Suburban,Text,Travel,0.0536,0.11035,0.00591476,5000,0,0.0
15-25,Male,0-25k,Suburban,Video,Fashion,0.0455,0.1274,0.0057967,5000,0,0.0
15-25,Male,0-25k,Suburban,Video,Finance,0.0701,0.0866,0.0060706599999999,5000,0,0.0
15-25,Male,0-25k,Suburban,Video,Food,0.04068,0.16954,0.0068968872,5000,0,0.0
15-25,Male,0-25k,Suburban,Video,Travel,0.05615,0.44005,0.0247088075,5000,5000,123.5440375
15-25,Male,0-25k,Urban,Banner,Food,0.0295,0.229,0.0067555,5000,0,0.0
15-25,Male,0-25k,Urban,Banner,Health,0.0544,0.3173,0.01726112,5000,0,0.0
15-25,Male,0-25k,Urban,Banner,Technology,0.0423,0.1435,0.0060700499999999,5000,0,0.0
15-25,Male,0-25k,Urban,Banner,Travel,0.0785,0.2788,0.0218858,5000,5000,109.429
15-25,Male,0-25k,Urban,Native,Fashion,0.0566,0.34015,0.01925249,5000,5000,96.26245
